pop,cod_ibg,ano,state
78263,110004,2008,11
16784,110005,2008,11
18216,110006,2008,11
9761,110007,2008,11
13973,110008,2008,11
28617,110009,2008,11
40541,110010,2008,11
53955,110011,2008,11
110707,110012,2008,11
32214,110013,2008,11
17653,110014,2008,11
37142,110015,2008,11
33803,110018,2008,11
379186,110020,2008,11
22896,110025,2008,11
3260,110026,2008,11
50249,110028,2008,11
9566,110029,2008,11
68405,110030,2008,11
23283,110032,2008,11
21650,110033,2008,11
17009,110034,2008,11
11962,110037,2008,11
17169,110040,2008,11
33879,110045,2008,11
9966,110050,2008,11
5707,110060,2008,11
12790,110070,2008,11
17147,110080,2008,11
3737,110090,2008,11
7633,110092,2008,11
14122,110094,2008,11
11793,110100,2008,11
8110,110110,2008,11
10653,110120,2008,11
12446,110130,2008,11
12710,110140,2008,11
7978,110143,2008,11
4696,110145,2008,11
2427,110146,2008,11
3819,110147,2008,11
6477,110148,2008,11
16091,110149,2008,11
12088,110150,2008,11
5070,110155,2008,11
10254,110160,2008,11
13785,110170,2008,11
8981,110175,2008,11
9008,110180,2008,11
24354,110001,2009,11
85541,110002,2009,11
6695,110003,2009,11
78675,110004,2009,11
16622,110005,2009,11
17822,110006,2009,11
9680,110007,2009,11
14452,110008,2009,11
28892,110009,2009,11
40762,110010,2009,11
53943,110011,2009,11
111010,110012,2009,11
33159,110013,2009,11
17698,110014,2009,11
36725,110015,2009,11
33984,110018,2009,11
382829,110020,2009,11
22519,110025,2009,11
3290,110026,2009,11
50499,110028,2009,11
9348,110029,2009,11
69866,110030,2009,11
23201,110032,2009,11
22337,110033,2009,11
17127,110034,2009,11
11875,110037,2009,11
17569,110040,2009,11
34693,110045,2009,11
9720,110050,2009,11
5736,110060,2009,11
12915,110070,2009,11
17547,110080,2009,11
3685,110090,2009,11
7843,110092,2009,11
14889,110094,2009,11
11593,110100,2009,11
8235,110110,2009,11
10572,110120,2009,11
12363,110130,2009,11
12708,110140,2009,11
7944,110143,2009,11
4802,110145,2009,11
2415,110146,2009,11
3765,110147,2009,11
6412,110148,2009,11
16491,110149,2009,11
12117,110150,2009,11
5010,110155,2009,11
10325,110160,2009,11
13661,110170,2009,11
9100,110175,2009,11
8913,110180,2009,11
